model,member,region,period_id,period,baseline_period,period_mean_jja_warming
ACCESS-ESM1-5,r34i1p1f1,NEU,P2,2041-2060,1995-2014,1.9479017291627727
ACCESS-ESM1-5,r34i1p1f1,NEU,P3,2081-2100,1995-2014,3.9994474452201367
ACCESS-ESM1-5,r34i1p1f1,WCE,P1,2021-2040,1995-2014,1.547689119394711
ACCESS-ESM1-5,r34i1p1f1,WCE,P2,2041-2060,1995-2014,2.5365996916859856
ACCESS-ESM1-5,r34i1p1f1,WCE,P3,2081-2100,1995-2014,5.297577887741096
ACCESS-ESM1-5,r35i1p1f1,MED,P1,2021-2040,1995-2014,1.6905562096836722
ACCESS-ESM1-5,r35i1p1f1,MED,P2,2041-2060,1995-2014,2.738506283155146
ACCESS-ESM1-5,r35i1p1f1,MED,P3,2081-2100,1995-2014,4.922255165571788
ACCESS-ESM1-5,r35i1p1f1,NEU,P1,2021-2040,1995-2014,0.6992248371976209
ACCESS-ESM1-5,r35i1p1f1,NEU,P2,2041-2060,1995-2014,1.842780974877202
ACCESS-ESM1-5,r35i1p1f1,NEU,P3,2081-2100,1995-2014,4.0268708251276575
ACCESS-ESM1-5,r35i1p1f1,WCE,P1,2021-2040,1995-2014,1.671869989822784
ACCESS-ESM1-5,r35i1p1f1,WCE,P2,2041-2060,1995-2014,3.1456253497550426
ACCESS-ESM1-5,r35i1p1f1,WCE,P3,2081-2100,1995-2014,6.016499606894362
ACCESS-ESM1-5,r36i1p1f1,MED,P1,2021-2040,1995-2014,1.6555900066667948
ACCESS-ESM1-5,r36i1p1f1,MED,P2,2041-2060,1995-2014,2.449750466202287
ACCESS-ESM1-5,r36i1p1f1,MED,P3,2081-2100,1995-2014,4.613011020616116
ACCESS-ESM1-5,r36i1p1f1,NEU,P1,2021-2040,1995-2014,1.1767362749895705
ACCESS-ESM1-5,r36i1p1f1,NEU,P2,2041-2060,1995-2014,1.9222948655890746
ACCESS-ESM1-5,r36i1p1f1,NEU,P3,2081-2100,1995-2014,3.907240421216089
ACCESS-ESM1-5,r36i1p1f1,WCE,P1,2021-2040,1995-2014,2.0585959213558622
ACCESS-ESM1-5,r36i1p1f1,WCE,P2,2041-2060,1995-2014,2.7767743970086873
ACCESS-ESM1-5,r36i1p1f1,WCE,P3,2081-2100,1995-2014,5.795897111617469
ACCESS-ESM1-5,r37i1p1f1,MED,P1,2021-2040,1995-2014,1.4503820060260542
ACCESS-ESM1-5,r37i1p1f1,MED,P2,2041-2060,1995-2014,2.6999981512727347
ACCESS-ESM1-5,r37i1p1f1,MED,P3,2081-2100,1995-2014,4.721100838087896
ACCESS-ESM1-5,r37i1p1f1,NEU,P1,2021-2040,1995-2014,1.0077900444935506
ACCESS-ESM1-5,r37i1p1f1,NEU,P2,2041-2060,1995-2014,1.7751873482045355
ACCESS-ESM1-5,r37i1p1f1,NEU,P3,2081-2100,1995-2014,3.6019857193537193
ACCESS-ESM1-5,r37i1p1f1,WCE,P1,2021-2040,1995-2014,1.5076347994724577
